,company_name,dba_name,owner_first,owner_last,location,location_city,location_state,zip_code,mailing_address,mailing_city,mailing_state,mailing_zip,certification_type,capability,local,out_of_state,location_standard,lat,lng,geometry,in_philly_msa,match_probability,DR_ACCT,CR_ACCT,CURR_PRIOR_FLAG,POSTED_DATE,DEPT,SEC_FD,INDEX,PROGRAM_CD,MAJ_CLASS,CLASS,DOC_NUM,TRANS_DESC,DOC_REF_NUM,VEND_NAME,VEND_NUM,DOC_NUM4,DOC_REF4,TOTAL_AMT
0,4U Services Inc.,"Stellar Services, Inc",Liang,Chen,"70 West 36th Street, Ste. #702",New York,NY,10018.0,"70 West 36th Street, Ste. #702",New York,NY,10018.0,MBE,"Internet service providers, using own operated wired telecommunications infrastructure (e.g., cable, DSL); Internet service providers, using client-supplied telecommunications (e.g., dial-up ISPs) ; Data processing computer services  ; Programming services, custom computer; Computer Systems Design Services ; Computer systems facilities (i.e., clients' facilities) management and operation services ; Other Computer Related Services  ; Computer and Office Machine Repair and Maintenance; All Other Telecommunications; Applications software programming services, custom computer; Custom Computer Programming Services; Computer Facilities Management Services;  ; ",False,True,,40.7505870001985,-73.98627750009129,POINT (-73.98627750009129 40.7505870001985),False,1.0,431.0,201.0,CURR,2019-06-25,69.0,10.0,690529.0,,2.0,0250,PVMD1902159601,*1669* MAY19 DAO,MDXX1900001301,4u,113189413 02,PVMD,MDXX,178240.0
1,A & A Court Reporting,Andrea St. John,Andrea,St. John,"303 Chestnut Street, Second Floor",Philadelphia,PA,19106.0,"P.O. Box 74, Suite 4",Moorestown,NJ,8057.0,WBE,Court reporting and stenotype services,True,True,303 CHESTNUT ST,39.94884851072602,-75.14617317373323,POINT (-75.14617317373323 39.94884851072602),True,1.0,431.0,201.0,CURR,2019-05-01,44.0,10.0,440097.0,,2.0,0258,PVXX1901098501,*35987* APR19 JAMES MCINTYRE V. CITY,,a a court reporting,233034758 02,PVXX,,2607.5
2,Court Reporting Associates,,Margarita,Tsouderos,P.O. Box 515 - Apt. #201,Wynnewood,PA,19096.0,P.O. Box 515 - Apt. #201,Wynnewood,PA,19096.0,WBE,"25800	PROFESSIONAL SERVICES, COURT REPORTING; ",False,False,,39.99577499992579,-75.2726200002194,POINT (-75.2726200002194 39.99577499992579),True,0.8894563461082072,431.0,201.0,CURR,2019-02-04,44.0,10.0,440097.0,,2.0,0258,PVXX1900741601,*35642* JAN19 KENNETH GRIMES V. CITY,,a a court reporting,233034758 02,PVXX,,2607.5
3,A & A Glove & Safety Company,,Ana M,Fisher,20 Richey Avenue,Collingswood,NJ,8107.0,20 Richey Avenue,Collingswood,NJ,8107.0,MWBE,"Textile and Fabric Finishing and Fabric Coating Mills; Professional and Commercial Equipment and Supplies Merchant Wholesalers ; Machinery, Equipment, and Supplies Merchant Wholesalers; Other Commercial Equipment Merchant Wholesalers; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers; Hardware Merchant Wholesalers; Industrial Supplies Merchant Wholesalers; Other Miscellaneous Durable Goods Merchant Wholesalers; Men's and Boys' Clothing and Furnishings Merchant Wholesalers; Footwear Merchant Wholesalers; Acids merchant wholesalers; Other Miscellaneous Nondurable Goods Merchant Wholesalers; Bar equipment merchant wholesalers; Safety glass (including motor vehicle) made from purchased glass",False,True,,39.9193131179884,-75.090614440765,POINT (-75.09061444076499 39.9193131179884),True,1.0,431.0,201.0,CURR,2018-10-31,52.0,10.0,520350.0,,3.0,0316,VCXX1903158301,*74033*                  ELEC CHAIN HOIST AUG18,POXX1910343701,a a glove safety,223525598 01,VCXX,POXX,45686.490000000005
4,"Acacia Financial Group, Inc.",,Noreen,White,"6000 Midlantic Drive, Suite 410 North",Mt. Laurel,NJ,8054.0,"6000 Midlantic Drive, Suite 410 North",Mt. Laurel,NJ,8054.0,WBE,Financial management consulting (except investment advice) services; Administrative Management and General Management Consulting Services,False,True,,39.9639025386706,-74.9181536321215,POINT (-74.9181536321215 39.9639025386706),True,1.0,431.0,201.0,CURR,2019-04-15,37.0,10.0,370072.0,,7.0,0705,PVXX1901010901,*09B EXTENSION* FA FEES,,acacia financial,204775407 01,PVXX,,3000.0
5,ACCLAIM SYSTEMS INC,,Kailash,Kalantri,110 EAST PENNSYLVANIA BOULEVARD,Feasterville,PA,19053.0,110 EAST PENNSYLVANIA BOULEVARD,Feasterville,PA,19053.0,MBE,NAICS	5415	Computer Systems Design and Related Services,False,False,,40.1509280973125,-75.0110212658694,POINT (-75.0110212658694 40.1509280973125),True,1.0,433.0,201.0,PRIOR,2019-04-03,4.0,10.0,40461.0,,2.0,0251,PVMD1901613001,*PHL13* PLIS SUPPT/MAINT 4/2018-3/2019 MAR19,MDXX1800135401,acclaim systems,364182176 02,PVMD,MDXX,113210.0
6,ACME SUPPLY CO LTD,,Zaheer,Sheik,"10 CEDAR SWAMP ROAD, Suite # 7",Glen Cove,NY,11542.0,"10 CEDAR SWAMP ROAD, Suite # 7",Glen Cove,NY,11542.0,MBE,Wholesale Trade,False,True,,40.8576589955596,-73.62001080942059,POINT (-73.62001080942059 40.8576589955596),False,1.0,431.0,201.0,CURR,2019-06-03,23.0,10.0,230291.0,,3.0,0308,VCXX1908724501,*38244*                  38244/SHIRTS/04/19,POXX1910669201,acme supply,113111598 01,VCXX,POXX,35127.0
7,"Acutedge, Inc.",,Sandeep,Banga,"5 Great Valley Parkway, Suite 210",Malvern,PA,19355.0,"5 Great Valley Parkway, Suite 210",Malvern,PA,19355.0,MBE,"Data Processing, Hosting, and Related Services  ; Computer programming services, custom  ; Computer Systems Design Services  ; Computer Facilities Management Services  ; Other Computer Related Services ; Computer training (except repair); Data processing services (except payroll services, financial transaction processing services); Custom Computer Programming Services; Administrative Management and General Management Consulting Services",False,False,,40.06515600029,-75.533616000048,POINT (-75.533616000048 40.06515600029),True,1.0,433.0,201.0,PRIOR,2018-07-26,4.0,10.0,40462.0,,2.0,0251,PVMD1900139501,*PHL311JUNE2018* PROFESSION SRVC 6/4-6/16/18 JUN18,MDXX1800124701,acutedge,392064787 02,PVMD,MDXX,15000.0
8,"Adept Consulting Services, Inc.",,Kirit,Mehta,"410 W. Main Street, Suite 201",Lansdale,PA,19446.0,"410 W. Main Street, Suite 201",Lansdale,PA,19446.0,MBE,"Applications software, computer, packaged  ; Applications software programming services, custom computer ; Computer software consulting services or consultants  ; Computer Systems Design Consulting Services  ; Other Computer Related Services  ; Temporary staffing services  ; Professional employer organizations ; ",False,False,,40.2440227033532,-75.2878812045951,POINT (-75.2878812045951 40.2440227033532),True,1.0,433.0,201.0,PRIOR,2018-07-13,12.0,10.0,120830.0,,2.0,0250,PVMD1900044501,MAR18 *181107* DADA 3/4/18 TO 3/31/18,MDXX1800089901,adept consulting,232773846 01,PVMD,MDXX,58500.0
9,"Advant-EDGE Solutions of Middle Atlantic, Inc.",,Laurie,Holland,1 Shea Way,Newark,DE,19713.0,1 Shea Way,Newark,DE,19713.0,WBE,Trash collection services; Garbage collection services; Waste Collection,False,True,,39.6523368943616,-75.72721189009759,POINT (-75.72721189009759 39.6523368943616),True,1.0,433.0,201.0,PRIOR,2018-08-21,11.0,10.0,110892.0,,2.0,0205,VCXX1901263601,*112156*                 VEHICLE CLEANING 5/31/18,POXX1810863901,advant edge solutions of middle atlantic,522297279 01,VCXX,POXX,313862.89999999997
