fy,dept,department_title,char_,character_title,sub_obj,sub_obj_title,doc_ref_no_prefix,doc_ref_no_prefix_definition,total_transaction_amount
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,255,DUES 0255,PCXX,petty cash,200
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,285,RENTS 0285,PCXX,petty cash,809.22
2017,11,11 POLICE,6,06 REAL PROPERTY,612,HVAC 0612,VCXX,procurement,488469.11
2017,14,14 HEALTH,4,04 EQUIPMENT,428,VEHICLES  MOTOR AND MOTORLESS 0428,VCXX,procurement,157861.58
2017,15,15 OFFICE OF BH/MR SERVICES,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,VCXX,procurement,1633
2017,35,35 DIRECTOR OF FINANCE,2,02 PURCHASE OF SERVICES,255,DUES 0255,PCXX,petty cash,1114
2017,35,35 DIRECTOR OF FINANCE,6,06 REAL PROPERTY,603,LANDSCAPING 0603,VCXX,procurement,139829
2017,36,36 REVENUE,2,02 PURCHASE OF SERVICES,253,LEGAL SERVICES 0253,PVMD,professional services,11629411.88
2017,38,38 PROCUREMENT,4,04 EQUIPMENT,420,OFFICE EQUIPMENT 0420,PCXX,petty cash,319.99
2017,44,44 LAW,2,02 PURCHASE OF SERVICES,255,DUES 0255,PCXX,petty cash,5580.9
2017,6,06 OFFICE OF HOUSING,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,VCXX,procurement,13949.5
2017,70,70 SHERIFF,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,VCXX,procurement,8730
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,202,JANITORIAL SERVICES 0202,VCXX,procurement,3489.6
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,PCXX,petty cash,21.08
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,PVXX,payment voucher,1014.61
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,VCXX,procurement,1860.16
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,210,POSTAGE 0210,PVXX,payment voucher,46517
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,210,POSTAGE 0210,VCXX,procurement,19.48
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,PCXX,petty cash,101
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,PVTR,American Express travel vouchers,4217.46
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,RPXX,reimbursable expense vouchers for City employees,4042.21
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFFSHELF COMP SOFTWARE 0216,VCXX,procurement,13278.02
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,240,ADVERTISING/PROMOTIONAL ACTIVITIES 0240,PCXX,petty cash,639.93
